Hewlett: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
e: {'mail_occurrences': 15, 'total_occurrences': 6396, 'x_spam_probability': 0.8823529411764706}
di: {'mail_occurrences': 1, 'total_occurrences': 2, 'x_spam_probability': 0.058823529411764705}
int: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
er: {'mail_occurrences': 4, 'total_occurrences': 18, 'x_spam_probability': 0.23529411764705882}
ne: {'mail_occurrences': 2, 'total_occurrences': 7, 'x_spam_probability': 0.11764705882352941}
t: {'mail_occurrences': 16, 'total_occurrences': 2766, 'x_spam_probability': 0.9411764705882353}
of: {'mail_occurrences': 6, 'total_occurrences': 20, 'x_spam_probability': 0.35294117647058826}
m: {'mail_occurrences': 15, 'total_occurrences': 1024, 'x_spam_probability': 0.8823529411764706}
an: {'mail_occurrences': 6, 'total_occurrences': 11, 'x_spam_probability': 0.35294117647058826}
uf: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
ac: {'mail_occurrences': 1, 'total_occurrences': 2, 'x_spam_probability': 0.058823529411764705}
tur: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
in: {'mail_occurrences': 11, 'total_occurrences': 47, 'x_spam_probability': 0.6470588235294118}
g: {'mail_occurrences': 16, 'total_occurrences': 1118, 'x_spam_probability': 0.9411764705882353}
M: {'mail_occurrences': 15, 'total_occurrences': 261, 'x_spam_probability': 0.8823529411764706}
ün: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
6: {'mail_occurrences': 12, 'total_occurrences': 16, 'x_spam_probability': 0.7058823529411765}
bi: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
s: {'mail_occurrences': 16, 'total_occurrences': 2274, 'x_spam_probability': 0.9411764705882353}
8: {'mail_occurrences': 14, 'total_occurrences': 59, 'x_spam_probability': 0.8235294117647058}
Fe: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
br: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
ua: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
20: {'mail_occurrences': 2, 'total_occurrences': 3, 'x_spam_probability': 0.11764705882352941}
18: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
Ber: {'mail_occurrences': 1, 'total_occurrences': 2, 'x_spam_probability': 0.058823529411764705}
eits: {'mail_occurrences': 1, 'total_occurrences': 2, 'x_spam_probability': 0.058823529411764705}
zum: {'mail_occurrences': 4, 'total_occurrences': 6, 'x_spam_probability': 0.23529411764705882}
dritt: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Mal: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
find: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
et: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
inte: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
rnet: {'mail_occurrences': 1, 'total_occurrences': 2, 'x_spam_probability': 0.058823529411764705}
man: {'mail_occurrences': 6, 'total_occurrences': 7, 'x_spam_probability': 0.35294117647058826}
ufac: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
turin: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Eve: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
nt: {'mail_occurrences': 2, 'total_occurrences': 4, 'x_spam_probability': 0.11764705882352941}
führ: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
end: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Ver: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
anst: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
altu: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
ng: {'mail_occurrences': 3, 'total_occurrences': 15, 'x_spam_probability': 0.17647058823529413}
Sac: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
hen: {'mail_occurrences': 2, 'total_occurrences': 6, 'x_spam_probability': 0.11764705882352941}
Indu: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
stria: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
l: {'mail_occurrences': 16, 'total_occurrences': 1475, 'x_spam_probability': 0.9411764705882353}
Inte: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Thin: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
gs: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
statt: {'mail_occurrences': 3, 'total_occurrences': 3, 'x_spam_probability': 0.17647058823529413}
Sei: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
dab: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
ei: {'mail_occurrences': 1, 'total_occurrences': 3, 'x_spam_probability': 0.058823529411764705}
wen: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
n: {'mail_occurrences': 16, 'total_occurrences': 4048, 'x_spam_probability': 0.9411764705882353}
übe: {'mail_occurrences': 1, 'total_occurrences': 2, 'x_spam_probability': 0.058823529411764705}
40: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Exp: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
erte: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
mitt: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
elst: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
ändi: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
sch: {'mail_occurrences': 5, 'total_occurrences': 6, 'x_spam_probability': 0.29411764705882354}
welt: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
weit: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
agie: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
ren: {'mail_occurrences': 2, 'total_occurrences': 7, 'x_spam_probability': 0.11764705882352941}
den: {'mail_occurrences': 8, 'total_occurrences': 24, 'x_spam_probability': 0.47058823529411764}
Unt: {'mail_occurrences': 1, 'total_occurrences': 3, 'x_spam_probability': 0.058823529411764705}
ern: {'mail_occurrences': 1, 'total_occurrences': 4, 'x_spam_probability': 0.058823529411764705}
ehm: {'mail_occurrences': 1, 'total_occurrences': 3, 'x_spam_probability': 0.058823529411764705}
Sta: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
nd: {'mail_occurrences': 2, 'total_occurrences': 4, 'x_spam_probability': 0.11764705882352941}
der: {'mail_occurrences': 9, 'total_occurrences': 62, 'x_spam_probability': 0.5294117647058824}
Din: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
ge: {'mail_occurrences': 2, 'total_occurrences': 6, 'x_spam_probability': 0.11764705882352941}
run: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
d: {'mail_occurrences': 16, 'total_occurrences': 1588, 'x_spam_probability': 0.9411764705882353}
um: {'mail_occurrences': 6, 'total_occurrences': 10, 'x_spam_probability': 0.35294117647058826}
IOT: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
beri: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
chte: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Jet: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
zt: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
reg: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
istr: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
ier: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Da: {'mail_occurrences': 1, 'total_occurrences': 2, 'x_spam_probability': 0.058823529411764705}
st: {'mail_occurrences': 2, 'total_occurrences': 3, 'x_spam_probability': 0.11764705882352941}
Di: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
sc: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
ov: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
17: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
au: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
f: {'mail_occurrences': 15, 'total_occurrences': 586, 'x_spam_probability': 0.8823529411764706}
Bli: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
ck: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Whit: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
epa: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
per: {'mail_occurrences': 2, 'total_occurrences': 3, 'x_spam_probability': 0.11764705882352941}
Prä: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
sent: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
atio: {'mail_occurrences': 3, 'total_occurrences': 3, 'x_spam_probability': 0.17647058823529413}
nen: {'mail_occurrences': 1, 'total_occurrences': 2, 'x_spam_probability': 0.058823529411764705}
Fall: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
stud: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
ien: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Vid: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
eos: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
meh: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
von: {'mail_occurrences': 9, 'total_occurrences': 23, 'x_spam_probability': 0.5294117647058824}
HP: {'mail_occurrences': 2, 'total_occurrences': 7, 'x_spam_probability': 0.11764705882352941}
Es: {'mail_occurrences': 3, 'total_occurrences': 3, 'x_spam_probability': 0.17647058823529413}
zuk: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
unft: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
swe: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
isen: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Kun: {'mail_occurrences': 1, 'total_occurrences': 2, 'x_spam_probability': 0.058823529411764705}
eve: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Mad: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
rid: {'mail_occurrences': 1, 'total_occurrences': 2, 'x_spam_probability': 0.058823529411764705}
steh: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Ihne: {'mail_occurrences': 1, 'total_occurrences': 2, 'x_spam_probability': 0.058823529411764705}
onli: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
zur: {'mail_occurrences': 5, 'total_occurrences': 9, 'x_spam_probability': 0.29411764705882354}
Verf: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
ügu: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Erf: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
ahr: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
me: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
H: {'mail_occurrences': 13, 'total_occurrences': 136, 'x_spam_probability': 0.7647058823529411}
P: {'mail_occurrences': 14, 'total_occurrences': 345, 'x_spam_probability': 0.8235294117647058}
E: {'mail_occurrences': 16, 'total_occurrences': 267, 'x_spam_probability': 0.9411764705882353}
Se: {'mail_occurrences': 1, 'total_occurrences': 2, 'x_spam_probability': 0.058823529411764705}
rv: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
off: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
si: {'mail_occurrences': 1, 'total_occurrences': 2, 'x_spam_probability': 0.058823529411764705}
ve: {'mail_occurrences': 3, 'total_occurrences': 4, 'x_spam_probability': 0.17647058823529413}
–: {'mail_occurrences': 14, 'total_occurrences': 50, 'x_spam_probability': 0.8235294117647058}
ric: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
hti: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
IT: {'mail_occurrences': 6, 'total_occurrences': 20, 'x_spam_probability': 0.35294117647058826}
Lö: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Bu: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
ss: {'mail_occurrences': 2, 'total_occurrences': 4, 'x_spam_probability': 0.11764705882352941}
Mit: {'mail_occurrences': 6, 'total_occurrences': 6, 'x_spam_probability': 0.35294117647058826}
aktu: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
elle: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Ang: {'mail_occurrences': 1, 'total_occurrences': 2, 'x_spam_probability': 0.058823529411764705}
ebot: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Ser: {'mail_occurrences': 2, 'total_occurrences': 4, 'x_spam_probability': 0.11764705882352941}
vero: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
ffen: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
sive: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
mac: {'mail_occurrences': 2, 'total_occurrences': 3, 'x_spam_probability': 0.11764705882352941}
fit: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
Her: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
ausf: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
ord: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
eru: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
nge: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
heut: {'mail_occurrences': 1, 'total_occurrences': 2, 'x_spam_probability': 0.058823529411764705}
mor: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
gen: {'mail_occurrences': 2, 'total_occurrences': 3, 'x_spam_probability': 0.11764705882352941}
Zu: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
An: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
bot: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
All: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
es: {'mail_occurrences': 9, 'total_occurrences': 17, 'x_spam_probability': 0.5294117647058824}
w: {'mail_occurrences': 16, 'total_occurrences': 491, 'x_spam_probability': 0.9411764705882353}
as: {'mail_occurrences': 3, 'total_occurrences': 6, 'x_spam_probability': 0.17647058823529413}
üb: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Io: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
T: {'mail_occurrences': 14, 'total_occurrences': 107, 'x_spam_probability': 0.8235294117647058}
wi: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
üs: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
se: {'mail_occurrences': 1, 'total_occurrences': 3, 'x_spam_probability': 0.058823529411764705}
eite: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
sich: {'mail_occurrences': 8, 'total_occurrences': 19, 'x_spam_probability': 0.47058823529411764}
on: {'mail_occurrences': 5, 'total_occurrences': 12, 'x_spam_probability': 0.29411764705882354}
auf: {'mail_occurrences': 8, 'total_occurrences': 18, 'x_spam_probability': 0.47058823529411764}
näc: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
hste: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Pha: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
digit: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
alen: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Tra: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
nsfo: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
rmat: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
ion: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
vor: {'mail_occurrences': 5, 'total_occurrences': 8, 'x_spam_probability': 0.29411764705882354}
IDC: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Wh: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
ite: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
pa: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
her: {'mail_occurrences': 2, 'total_occurrences': 4, 'x_spam_probability': 0.11764705882352941}
unt: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
erl: {'mail_occurrences': 1, 'total_occurrences': 2, 'x_spam_probability': 0.058823529411764705}
ade: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Fi: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
na: {'mail_occurrences': 2, 'total_occurrences': 3, 'x_spam_probability': 0.11764705882352941}
nz: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
da: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
te: {'mail_occurrences': 3, 'total_occurrences': 4, 'x_spam_probability': 0.17647058823529413}
du: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
rc: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
h: {'mail_occurrences': 16, 'total_occurrences': 1332, 'x_spam_probability': 0.9411764705882353}
En: {'mail_occurrences': 1, 'total_occurrences': 2, 'x_spam_probability': 0.058823529411764705}
to: {'mail_occurrences': 4, 'total_occurrences': 23, 'x_spam_probability': 0.23529411764705882}
he: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
its: {'mail_occurrences': 2, 'total_occurrences': 3, 'x_spam_probability': 0.11764705882352941}
lö: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Die: {'mail_occurrences': 6, 'total_occurrences': 16, 'x_spam_probability': 0.35294117647058826}
erw: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
eiter: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
ten: {'mail_occurrences': 2, 'total_occurrences': 6, 'x_spam_probability': 0.11764705882352941}
Sich: {'mail_occurrences': 1, 'total_occurrences': 2, 'x_spam_probability': 0.058823529411764705}
erh: {'mail_occurrences': 1, 'total_occurrences': 2, 'x_spam_probability': 0.058823529411764705}
maß: {'mail_occurrences': 2, 'total_occurrences': 3, 'x_spam_probability': 0.11764705882352941}
