Im: {'mail_occurrences': 4, 'total_occurrences': 4, 'x_spam_probability': 0.23529411764705882}
bereitgestellt: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
03: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
04: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
Hochschule: {'mail_occurrences': 10, 'total_occurrences': 14, 'x_spam_probability': 0.5882352941176471}
Bitte: {'mail_occurrences': 5, 'total_occurrences': 7, 'x_spam_probability': 0.29411764705882354}
beachten: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
Dies: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
ist: {'mail_occurrences': 11, 'total_occurrences': 19, 'x_spam_probability': 0.6470588235294118}
eine: {'mail_occurrences': 8, 'total_occurrences': 17, 'x_spam_probability': 0.47058823529411764}
automatisch: {'mail_occurrences': 3, 'total_occurrences': 3, 'x_spam_probability': 0.17647058823529413}
versendete: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
Nachricht: {'mail_occurrences': 6, 'total_occurrences': 10, 'x_spam_probability': 0.35294117647058826}
Mit: {'mail_occurrences': 12, 'total_occurrences': 14, 'x_spam_probability': 0.7058823529411765}
freundlichen: {'mail_occurrences': 9, 'total_occurrences': 11, 'x_spam_probability': 0.5294117647058824}
Grüßen: {'mail_occurrences': 10, 'total_occurrences': 12, 'x_spam_probability': 0.5882352941176471}
Ihre: {'mail_occurrences': 4, 'total_occurrences': 4, 'x_spam_probability': 0.23529411764705882}
Dienstag: {'mail_occurrences': 6, 'total_occurrences': 7, 'x_spam_probability': 0.35294117647058826}
10: {'mail_occurrences': 10, 'total_occurrences': 11, 'x_spam_probability': 0.5882352941176471}
April: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
04223586: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
250: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
P99: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
41: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
den: {'mail_occurrences': 11, 'total_occurrences': 30, 'x_spam_probability': 0.6470588235294118}
Einsatz: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
von: {'mail_occurrences': 11, 'total_occurrences': 28, 'x_spam_probability': 0.6470588235294118}
IPython: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Jupyter: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
NumPy: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Pandas: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Matplotlib: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Learn: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
17: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Professoren: {'mail_occurrences': 7, 'total_occurrences': 16, 'x_spam_probability': 0.4117647058823529}
professoren: {'mail_occurrences': 7, 'total_occurrences': 8, 'x_spam_probability': 0.4117647058823529}
hs: {'mail_occurrences': 12, 'total_occurrences': 27, 'x_spam_probability': 0.7058823529411765}
im: {'mail_occurrences': 12, 'total_occurrences': 29, 'x_spam_probability': 0.7058823529411765}
Jörg: {'mail_occurrences': 2, 'total_occurrences': 6, 'x_spam_probability': 0.11764705882352941}
Röper: {'mail_occurrences': 2, 'total_occurrences': 6, 'x_spam_probability': 0.11764705882352941}
j: {'mail_occurrences': 2, 'total_occurrences': 4, 'x_spam_probability': 0.11764705882352941}
9: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Oktober: {'mail_occurrences': 4, 'total_occurrences': 5, 'x_spam_probability': 0.23529411764705882}
Spindler: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
rainer: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
gmbh: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Personalrat: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Gebäude: {'mail_occurrences': 5, 'total_occurrences': 7, 'x_spam_probability': 0.29411764705882354}
H: {'mail_occurrences': 4, 'total_occurrences': 7, 'x_spam_probability': 0.23529411764705882}
Nutzung: {'mail_occurrences': 1, 'total_occurrences': 2, 'x_spam_probability': 0.058823529411764705}
des: {'mail_occurrences': 7, 'total_occurrences': 15, 'x_spam_probability': 0.4117647058823529}
neuen: {'mail_occurrences': 3, 'total_occurrences': 5, 'x_spam_probability': 0.17647058823529413}
Treppenturmes: {'mail_occurrences': 1, 'total_occurrences': 2, 'x_spam_probability': 0.058823529411764705}
Notfall: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
ab: {'mail_occurrences': 1, 'total_occurrences': 2, 'x_spam_probability': 0.058823529411764705}
sofort: {'mail_occurrences': 2, 'total_occurrences': 3, 'x_spam_probability': 0.11764705882352941}
möglich: {'mail_occurrences': 2, 'total_occurrences': 3, 'x_spam_probability': 0.11764705882352941}
geehrte: {'mail_occurrences': 6, 'total_occurrences': 7, 'x_spam_probability': 0.35294117647058826}
Damen: {'mail_occurrences': 5, 'total_occurrences': 5, 'x_spam_probability': 0.29411764705882354}
Herren: {'mail_occurrences': 5, 'total_occurrences': 5, 'x_spam_probability': 0.29411764705882354}
die: {'mail_occurrences': 12, 'total_occurrences': 67, 'x_spam_probability': 0.7058823529411765}
Der: {'mail_occurrences': 3, 'total_occurrences': 3, 'x_spam_probability': 0.17647058823529413}
neue: {'mail_occurrences': 4, 'total_occurrences': 6, 'x_spam_probability': 0.23529411764705882}
Fluchtweg: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
aus: {'mail_occurrences': 4, 'total_occurrences': 6, 'x_spam_probability': 0.23529411764705882}
Räumen: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
auf: {'mail_occurrences': 11, 'total_occurrences': 18, 'x_spam_probability': 0.6470588235294118}
Flur: {'mail_occurrences': 1, 'total_occurrences': 2, 'x_spam_probability': 0.058823529411764705}
vom: {'mail_occurrences': 3, 'total_occurrences': 4, 'x_spam_probability': 0.17647058823529413}
über: {'mail_occurrences': 5, 'total_occurrences': 13, 'x_spam_probability': 0.29411764705882354}
Fahrstuhlvorraum: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
zum: {'mail_occurrences': 5, 'total_occurrences': 6, 'x_spam_probability': 0.29411764705882354}
Haupttreppenhaus: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Richtung: {'mail_occurrences': 1, 'total_occurrences': 2, 'x_spam_probability': 0.058823529411764705}
steinerner: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Campus: {'mail_occurrences': 3, 'total_occurrences': 7, 'x_spam_probability': 0.17647058823529413}
oder: {'mail_occurrences': 5, 'total_occurrences': 16, 'x_spam_probability': 0.29411764705882354}
Fluchtturm: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
grüner: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Sie: {'mail_occurrences': 14, 'total_occurrences': 65, 'x_spam_probability': 0.8235294117647058}
müssen: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
nicht: {'mail_occurrences': 5, 'total_occurrences': 12, 'x_spam_probability': 0.29411764705882354}
mehr: {'mail_occurrences': 3, 'total_occurrences': 3, 'x_spam_probability': 0.17647058823529413}
Fenster: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Balkone: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
flüchten: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Die: {'mail_occurrences': 5, 'total_occurrences': 11, 'x_spam_probability': 0.29411764705882354}
Fluchtwegepläne: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
sollen: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
laut: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Vermögen: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Bau: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
nächsten: {'mail_occurrences': 3, 'total_occurrences': 3, 'x_spam_probability': 0.17647058823529413}
Woche: {'mail_occurrences': 6, 'total_occurrences': 7, 'x_spam_probability': 0.35294117647058826}
ausgetauscht: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
werden: {'mail_occurrences': 8, 'total_occurrences': 24, 'x_spam_probability': 0.47058823529411764}
alten: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Flutwegekennzeichnungen: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Laufe: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
dieser: {'mail_occurrences': 4, 'total_occurrences': 8, 'x_spam_probability': 0.23529411764705882}
entfernt: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Wenden: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
sich: {'mail_occurrences': 5, 'total_occurrences': 6, 'x_spam_probability': 0.29411764705882354}
bei: {'mail_occurrences': 6, 'total_occurrences': 11, 'x_spam_probability': 0.35294117647058826}
Unklarheiten: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
umgehend: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
an: {'mail_occurrences': 6, 'total_occurrences': 15, 'x_spam_probability': 0.35294117647058826}
uns: {'mail_occurrences': 7, 'total_occurrences': 22, 'x_spam_probability': 0.4117647058823529}
wir: {'mail_occurrences': 6, 'total_occurrences': 11, 'x_spam_probability': 0.35294117647058826}
erläutern: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Ihnen: {'mail_occurrences': 3, 'total_occurrences': 4, 'x_spam_probability': 0.17647058823529413}
gerne: {'mail_occurrences': 5, 'total_occurrences': 6, 'x_spam_probability': 0.29411764705882354}
Situation: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
vor: {'mail_occurrences': 3, 'total_occurrences': 5, 'x_spam_probability': 0.17647058823529413}
Ort: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Eine: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
ausführliche: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Einweisung: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Arbeitsplatzinhaber: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
wird: {'mail_occurrences': 8, 'total_occurrences': 15, 'x_spam_probability': 0.47058823529411764}
noch: {'mail_occurrences': 4, 'total_occurrences': 4, 'x_spam_probability': 0.23529411764705882}
erfolgen: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Dipl: {'mail_occurrences': 4, 'total_occurrences': 4, 'x_spam_probability': 0.23529411764705882}
Ing: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
FH: {'mail_occurrences': 4, 'total_occurrences': 4, 'x_spam_probability': 0.23529411764705882}
Technischer: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
Betriebsleiter: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
University: {'mail_occurrences': 3, 'total_occurrences': 3, 'x_spam_probability': 0.17647058823529413}
of: {'mail_occurrences': 3, 'total_occurrences': 8, 'x_spam_probability': 0.17647058823529413}
Applied: {'mail_occurrences': 3, 'total_occurrences': 3, 'x_spam_probability': 0.17647058823529413}
Sciences: {'mail_occurrences': 3, 'total_occurrences': 3, 'x_spam_probability': 0.17647058823529413}
Paul: {'mail_occurrences': 8, 'total_occurrences': 8, 'x_spam_probability': 0.47058823529411764}
Wittsack: {'mail_occurrences': 8, 'total_occurrences': 8, 'x_spam_probability': 0.47058823529411764}
Str: {'mail_occurrences': 4, 'total_occurrences': 4, 'x_spam_probability': 0.23529411764705882}
D: {'mail_occurrences': 5, 'total_occurrences': 11, 'x_spam_probability': 0.29411764705882354}
68163: {'mail_occurrences': 8, 'total_occurrences': 8, 'x_spam_probability': 0.47058823529411764}
49: {'mail_occurrences': 6, 'total_occurrences': 18, 'x_spam_probability': 0.35294117647058826}
0: {'mail_occurrences': 7, 'total_occurrences': 10, 'x_spam_probability': 0.4117647058823529}
621: {'mail_occurrences': 4, 'total_occurrences': 8, 'x_spam_probability': 0.23529411764705882}
292: {'mail_occurrences': 8, 'total_occurrences': 15, 'x_spam_probability': 0.47058823529411764}
6396: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
6455: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Jetzt: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
hausmeister: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
werkstatt: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
reinigungsdienst: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
E: {'mail_occurrences': 7, 'total_occurrences': 24, 'x_spam_probability': 0.4117647058823529}
Mail: {'mail_occurrences': 5, 'total_occurrences': 15, 'x_spam_probability': 0.29411764705882354}
dazugehoerigen: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
Anhaengen: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
zusammen: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
enthaltenen: {'mail_occurrences': 3, 'total_occurrences': 3, 'x_spam_probability': 0.17647058823529413}
Informationen: {'mail_occurrences': 4, 'total_occurrences': 8, 'x_spam_probability': 0.23529411764705882}
nur: {'mail_occurrences': 4, 'total_occurrences': 7, 'x_spam_probability': 0.23529411764705882}
fuer: {'mail_occurrences': 3, 'total_occurrences': 5, 'x_spam_probability': 0.17647058823529413}
Adressaten: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
bestimmt: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
koennen: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
vertrauliche: {'mail_occurrences': 4, 'total_occurrences': 5, 'x_spam_probability': 0.23529411764705882}
rechtlich: {'mail_occurrences': 3, 'total_occurrences': 3, 'x_spam_probability': 0.17647058823529413}
geschuetzte: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
enthalten: {'mail_occurrences': 3, 'total_occurrences': 5, 'x_spam_probability': 0.17647058823529413}
Sollten: {'mail_occurrences': 3, 'total_occurrences': 3, 'x_spam_probability': 0.17647058823529413}
irrtuemlich: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
erhalten: {'mail_occurrences': 4, 'total_occurrences': 4, 'x_spam_probability': 0.23529411764705882}
haben: {'mail_occurrences': 7, 'total_occurrences': 9, 'x_spam_probability': 0.4117647058823529}
loeschen: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
bitte: {'mail_occurrences': 7, 'total_occurrences': 9, 'x_spam_probability': 0.4117647058823529}
benachrichtigen: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
Absender: {'mail_occurrences': 5, 'total_occurrences': 6, 'x_spam_probability': 0.29411764705882354}
unbefugte: {'mail_occurrences': 3, 'total_occurrences': 3, 'x_spam_probability': 0.17647058823529413}
Weitergabe: {'mail_occurrences': 3, 'total_occurrences': 3, 'x_spam_probability': 0.17647058823529413}
Anfertigen: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
Kopien: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
jede: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
Veraenderung: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
untersagt: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
Wir: {'mail_occurrences': 6, 'total_occurrences': 10, 'x_spam_probability': 0.35294117647058826}
schließen: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
jegliche: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
Haftung: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
Verluste: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
Schaeden: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
durch: {'mail_occurrences': 3, 'total_occurrences': 3, 'x_spam_probability': 0.17647058823529413}
Inhalte: {'mail_occurrences': 4, 'total_occurrences': 5, 'x_spam_probability': 0.23529411764705882}
veraenderter: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
Nachrichten: {'mail_occurrences': 2, 'total_occurrences': 3, 'x_spam_probability': 0.11764705882352941}
virenbefallene: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
Software: {'mail_occurrences': 3, 'total_occurrences': 3, 'x_spam_probability': 0.17647058823529413}
verursacht: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
The: {'mail_occurrences': 2, 'total_occurrences': 4, 'x_spam_probability': 0.11764705882352941}
information: {'mail_occurrences': 2, 'total_occurrences': 4, 'x_spam_probability': 0.11764705882352941}
contained: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
this: {'mail_occurrences': 2, 'total_occurrences': 4, 'x_spam_probability': 0.11764705882352941}
e: {'mail_occurrences': 2, 'total_occurrences': 4, 'x_spam_probability': 0.11764705882352941}
mail: {'mail_occurrences': 3, 'total_occurrences': 5, 'x_spam_probability': 0.17647058823529413}
and: {'mail_occurrences': 4, 'total_occurrences': 13, 'x_spam_probability': 0.23529411764705882}
any: {'mail_occurrences': 2, 'total_occurrences': 4, 'x_spam_probability': 0.11764705882352941}
attachments: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
together: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
the: {'mail_occurrences': 2, 'total_occurrences': 10, 'x_spam_probability': 0.11764705882352941}
message: {'mail_occurrences': 2, 'total_occurrences': 6, 'x_spam_probability': 0.11764705882352941}
is: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
intended: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
for: {'mail_occurrences': 4, 'total_occurrences': 6, 'x_spam_probability': 0.23529411764705882}
addressee: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
only: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
may: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
contain: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
confidential: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
or: {'mail_occurrences': 2, 'total_occurrences': 7, 'x_spam_probability': 0.11764705882352941}
privileged: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
If: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
you: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
have: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
received: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
by: {'mail_occurrences': 2, 'total_occurrences': 4, 'x_spam_probability': 0.11764705882352941}
mistake: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
please: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
delete: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
it: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
notify: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
sender: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
unauthorized: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
dissemination: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
copying: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
change: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
